ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
5A8,medium_airport,Aleknagik / New Airport,66.0,,US,US-AK,Aleknagik,5A8,WKK,5A8,"-158.617996216, 59.2826004028"
K79J,medium_airport,South Alabama Regional At Bill Benton Field Airport,310.0,,US,US-AL,Andalusia/Opp,K79J,,79J,"-86.393799, 31.3088"
KABE,medium_airport,Lehigh Valley International Airport,393.0,,US,US-PA,Allentown,KABE,ABE,ABE,"-75.44080352783203, 40.652099609375"
KABI,medium_airport,Abilene Regional Airport,1791.0,,US,US-TX,Abilene,KABI,ABI,ABI,"-99.68190002440001, 32.4113006592"
KABQ,large_airport,Albuquerque International Sunport,5355.0,,US,US-NM,Albuquerque,KABQ,ABQ,ABQ,"-106.609001, 35.040199"
KABR,medium_airport,Aberdeen Regional Airport,1302.0,,US,US-SD,Aberdeen,KABR,ABR,ABR,"-98.42179870605469, 45.449100494384766"
KABY,medium_airport,Southwest Georgia Regional Airport,197.0,,US,US-GA,Albany,KABY,ABY,ABY,"-84.19450378417969, 31.535499572753906"
KACK,medium_airport,Nantucket Memorial Airport,47.0,,US,US-MA,Nantucket,KACK,ACK,ACK,"-70.06020355, 41.25310135"
KACT,medium_airport,Waco Regional Airport,516.0,,US,US-TX,Waco,KACT,ACT,ACT,"-97.23049926757812, 31.611299514770508"
KACV,medium_airport,California Redwood Coast-Humboldt County Airport,221.0,,US,US-CA,Arcata/Eureka,KACV,ACV,ACV,"-124.109, 40.978101"
KACY,medium_airport,Atlantic City International Airport,75.0,,US,US-NJ,Atlantic City,KACY,ACY,ACY,"-74.57720184326172, 39.45759963989258"
KADW,large_airport,Joint Base Andrews,280.0,,US,US-MD,Camp Springs,KADW,ADW,ADW,"-76.866997, 38.810799"
KAEX,medium_airport,Alexandria International Airport,89.0,,US,US-LA,Alexandria,KAEX,AEX,AEX,"-92.54979705810547, 31.32740020751953"
KAFW,large_airport,Fort Worth Alliance Airport,722.0,,US,US-TX,Fort Worth,KAFW,AFW,AFW,"-97.31880187990001, 32.9875984192"
KAGC,medium_airport,Allegheny County Airport,1252.0,,US,US-PA,Pittsburgh,KAGC,AGC,AGC,"-79.9301986694336, 40.354400634765625"
