type,name,iso_country,iso_region,municipality,iata_code,Longitude,Latitude
medium_airport,Aleknagik / New Airport,US,US-AK,Aleknagik,WKK,-158.617996216,59.2826004028
medium_airport,South Alabama Regional At Bill Benton Field Airport,US,US-AL,Andalusia/Opp,,-86.393799,31.3088
medium_airport,Lehigh Valley International Airport,US,US-PA,Allentown,ABE,-75.44080352783203,40.652099609375
medium_airport,Abilene Regional Airport,US,US-TX,Abilene,ABI,-99.68190002440001,32.4113006592
large_airport,Albuquerque International Sunport,US,US-NM,Albuquerque,ABQ,-106.609001,35.040199
medium_airport,Aberdeen Regional Airport,US,US-SD,Aberdeen,ABR,-98.42179870605469,45.449100494384766
medium_airport,Southwest Georgia Regional Airport,US,US-GA,Albany,ABY,-84.19450378417969,31.535499572753906
medium_airport,Nantucket Memorial Airport,US,US-MA,Nantucket,ACK,-70.06020355,41.25310135
medium_airport,Waco Regional Airport,US,US-TX,Waco,ACT,-97.23049926757812,31.611299514770508
medium_airport,California Redwood Coast-Humboldt County Airport,US,US-CA,Arcata/Eureka,ACV,-124.109,40.978101
medium_airport,Atlantic City International Airport,US,US-NJ,Atlantic City,ACY,-74.57720184326172,39.45759963989258
large_airport,Joint Base Andrews,US,US-MD,Camp Springs,ADW,-76.866997,38.810799
medium_airport,Alexandria International Airport,US,US-LA,Alexandria,AEX,-92.54979705810547,31.32740020751953
large_airport,Fort Worth Alliance Airport,US,US-TX,Fort Worth,AFW,-97.31880187990001,32.9875984192
medium_airport,Allegheny County Airport,US,US-PA,Pittsburgh,AGC,-79.9301986694336,40.354400634765625
large_airport,Augusta Regional At Bush Field,US,US-GA,Augusta,AGS,-81.9645004272461,33.36989974975586
medium_airport,Athens Ben Epps Airport,US,US-GA,Athens,AHN,-83.32630157470703,33.94860076904297
medium_airport,Akron Fulton International Airport,US,US-OH,Akron,AKC,-81.4669036865,41.0374984741
medium_airport,Albany International Airport,US,US-NY,Albany,ALB,-73.80169677734375,42.74829864501953
